Title,Genre,Budget,ReleaseDate,Popularity,Duration,Director,Actor1,Actor2,Language,Certification,State,Box Office Collection (INR),Population,Urbanization,TheaterCount
Etharkkum Thunindhavan,"Action, Drama",60000000,10/3/22,7.7,140,Pandiraj,Suriya,Priyanka Arul Mohan,Tamil,U/A,Tamil Nadu,1000000000,77,48,2200
Don,"Action, Comedy",50000000,13/5/22,7.9,140,Cibi Chakaravarthi,Sivakarthikeyan,Priyanka Arul Mohan,Tamil,U/A,Tamil Nadu,1200000000,77,48,2400
Valimai,"Action, Thriller",120000000,24/2/22,8.2,160,H. Vinoth,Ajith Kumar,Karthika,Tamil,U/A,Tamil Nadu,1400000000,77,48,2700
Komban,"Action, Drama",60000000,22/7/22,7.4,145,Muthiah,Karthi,Lakshmi Menon,Tamil,U/A,Tamil Nadu,70000000,77,48,1900
Anbirkiniyal,Drama,25000000,15/6/22,6.8,130,Kannan,Karthik Kumar,Kajal Aggarwal,Tamil,U/A,Tamil Nadu,30000000,77,48,1500
Ponniyin Selvan: I,"Historical, Drama",250000000,30/9/22,8.5,167,Mani Ratnam,Vikram,Aishwarya Rai,Tamil,U/A,Tamil Nadu,3500000000,77,48,3000
Sardar,"Action, Drama",55000000,21/10/22,7.6,145,P. S. Mithran,Karthi,Raashi Khanna,Tamil,U/A,Tamil Nadu,70000000,77,48,2000
Vikram,"Action, Thriller",80000000,3/6/22,8.2,155,Lokesh Kanagaraj,Kamal Haasan,Vijay Sethupathi,Tamil,U/A,Tamil Nadu,1200000000,77,48,2800
Maanaadu,"Action, Sci-Fi",50000000,25/11/21,7.7,150,Venkat Prabhu,Silambarasan,S. J. Surya,Tamil,U/A,Tamil Nadu,80000000,77,48,1900
Kathi,"Action, Drama",50000000,14/1/22,7.4,145,R. Ramesh,Vijay Antony,Katrina Kaif,Tamil,U/A,Tamil Nadu,60000000,77,48,1600
Aadhaar,Drama,30000000,15/4/22,7.1,130,S. R. Prabhakaran,Arun Vijay,Karthika Nair,Tamil,U/A,Tamil Nadu,35000000,77,48,1500
Eeswaran,"Action, Drama",45000000,14/1/21,7,145,Suseenthiran,Sasikumar,Niranjani Ahathian,Tamil,U/A,Tamil Nadu,50000000,77,48,1400
Thiruchitrambalam,"Comedy, Drama",45000000,18/8/22,7.3,135,Pondy Ravi,Dhanush,Nithya Menen,Tamil,U/A,Tamil Nadu,60000000,77,48,1500
Kushi,"Romance, Drama",50000000,4/11/22,7.2,140,Siva,Vijay,Samantha Ruth Prabhu,Tamil,U/A,Tamil Nadu,70000000,77,48,1600
Jai Bhim,Drama,20000000,2/11/21,8,150,T.J. Gnanavel,Suriya,Lijomol Jose,Tamil,U/A,Tamil Nadu,25000000,77,48,1300
Sani Kaayidham,"Crime, Thriller",30000000,6/5/22,7.6,145,Arun Matheswaran,Keerthy Suresh,Selvaraghavan,Tamil,U/A,Tamil Nadu,40000000,77,48,1400
Kaalidas,"Crime, Thriller",30000000,24/12/20,7.1,130,Sri Senthil,Arun Vijay,Srushti Dange,Tamil,U/A,Tamil Nadu,35000000,77,48,1200
Komban,"Action, Drama",60000000,23/12/21,7.2,140,Muthiah,Karthi,Lakshmi Menon,Tamil,U/A,Tamil Nadu,70000000,77,48,1500
Maanadu,"Action, Sci-Fi",50000000,25/11/21,7.7,150,Venkat Prabhu,Silambarasan,S. J. Surya,Tamil,U/A,Tamil Nadu,80000000,77,48,1800
Kuthiraivaal,Drama,25000000,10/3/22,6.9,125,Manikandan,Vijay Sethupathi,Aishwarya Rajesh,Tamil,U/A,Tamil Nadu,30000000,77,48,1400
Kutty,"Comedy, Drama",35000000,19/2/21,7,130,R. Kannan,Vijay Sethupathi,Aishwarya Rajesh,Tamil,U/A,Tamil Nadu,40000000,77,48,1300
Dikkiloona,"Comedy, Sci-Fi",40000000,10/9/21,7.2,140,Karthik Yogi,Sivakarthikeyan,Anu Emmanuel,Tamil,U/A,Tamil Nadu,50000000,77,48,1400
Dharala Prabhu,"Comedy, Drama",30000000,17/4/20,7.1,130,Karthik Yogi,Harish Kalyan,Tanya Hope,Tamil,U/A,Tamil Nadu,40000000,77,48,1200
Kavalthurai Ungal Nanban,"Action, Drama",30000000,6/8/21,6.8,140,S. S. Suriya,Sibiraj,Nikki Galrani,Tamil,U/A,Tamil Nadu,35000000,77,48,1300
Rudra Thandavam,"Action, Thriller",35000000,11/2/22,7.3,145,Jothi Krishna,Nanda,Ramya Nambeesan,Tamil,U/A,Tamil Nadu,40000000,77,48,1400
Yenni Thuniga,"Drama, Thriller",20000000,3/12/21,7,130,A. Venkatesh,Arulnithi,Nikki Galrani,Tamil,U/A,Tamil Nadu,25000000,77,48,1200
Muthina Kathirikai,"Comedy, Drama",30000000,2/7/21,6.9,130,S. R. Prabhakaran,Vikram Prabhu,Manjima Mohan,Tamil,U/A,Tamil Nadu,35000000,77,48,1100
Sivakumarin Sabadham,"Comedy, Drama",25000000,10/3/21,6.8,120,S. R. Prabhakaran,Sivakarthikeyan,Nivetha Pethuraj,Tamil,U/A,Tamil Nadu,30000000,77,48,1200
Maanadu,"Action, Sci-Fi",50000000,25/11/21,7.8,150,Venkat Prabhu,Silambarasan,S. J. Surya,Tamil,U/A,Tamil Nadu,80000000,77,48,1800
Puducherry,Drama,25000000,14/1/22,6.9,130,S. R. Prabhakaran,Karthik,Nandita Swetha,Tamil,U/A,Tamil Nadu,30000000,77,48,1400
Bheemaa,"Action, Drama",40000000,7/10/22,7.5,150,Hari,Vikram,Nayanthara,Tamil,U/A,Tamil Nadu,60000000,77,48,1600
Kumki,"Action, Drama",60000000,23/7/21,7.2,145,Prabhu Solomon,Vikram Prabhu,Lakshmi Menon,Tamil,U/A,Tamil Nadu,70000000,77,48,1500
